PeriodID,GameID,Number,Name,Type,AwayScore,HomeScore
73140,40512,1,1,Half,32,35
73141,37461,1,1,Half,42,30
73142,36682,1,1,Half,49,27
73143,37434,1,1,Half,30,31
73144,42115,2,2,Half,34,31
73145,38382,2,2,Half,27,35
73146,42116,1,1,Half,31,34
73147,37444,1,1,Half,53,54
73148,38370,1,1,Half,38,26
73149,37441,2,2,Half,32,45
73150,38800,2,2,Half,43,39
73151,36685,2,2,Half,40,21
73152,42114,2,2,Half,45,45
73153,40516,2,2,Half,33,41
73154,40512,2,2,Half,32,44
73155,37437,1,1,Half,34,42
73156,37454,1,1,Half,39,35
73157,42117,1,1,Half,32,35
73158,37433,1,1,Half,36,43
73159,37450,1,1,Half,39,40
73160,40513,1,1,Half,28,24
73161,42118,1,1,Half,21,32
73162,42119,1,1,Half,26,49
73163,38385,1,1,Half,23,25
73164,38381,1,1,Half,26,32
73165,42121,1,1,Half,34,27
73166,42116,2,2,Half,38,31
73167,37444,2,2,Half,40,53
73168,38370,2,2,Half,40,41
73169,36682,2,2,Half,38,36
73170,37460,2,2,Half,48,28
73171,37434,2,2,Half,39,41
73172,38373,1,1,Half,23,24
73173,37934,1,1,Half,37,19
73174,40520,1,1,Half,30,37
73175,37928,1,1,Half,24,42
73176,38801,1,1,Half,20,33
73177,37462,1,1,Half,30,31
73178,38386,1,1,Half,32,29
73179,37440,1,1,Half,31,44
73180,37438,1,1,Half,30,37
73181,37448,1,1,Half,21,32
73182,37432,1,1,Half,32,26
73183,37436,1,1,Half,25,34
73184,38799,1,1,Half,26,43
73185,37443,1,1,Half,30,26
73186,37461,2,2,Half,32,42
73187,42120,1,1,Half,35,35
73188,36684,1,1,Half,33,39
73189,40516,3,OT,Overtime,9,18
73190,37450,2,2,Half,25,37
73191,40513,2,2,Half,29,33
73192,38801,2,2,Half,44,36
73193,38386,2,2,Half,34,35
73194,37454,2,2,Half,32,55
73195,42117,2,2,Half,35,32
73196,37440,2,2,Half,54,48
73197,37438,2,2,Half,35,36
73198,42121,2,2,Half,35,38
73199,37925,1,1,Half,31,30
73200,38802,1,1,Half,33,28
73201,40495,1,1,Half,28,30
73202,40523,1,1,Half,22,30
